a,b,same_init,same_seed,d_unaligned,d_aligned
orthogonal_s1,lognormal_he_scale_s1,False,True,103.91664450984523,93.06555674955897
orthogonal_s1,lognormal_he_scale_s2,False,False,103.72196105208967,93.10782815971385
orthogonal_s1,lognormal_jaynes_s0,False,False,81.32827890099904,72.43475554969893
orthogonal_s1,lognormal_jaynes_s1,False,True,81.91170742349156,73.07665888599345
orthogonal_s1,lognormal_jaynes_s2,False,False,81.69919761299818,72.71265841953569
orthogonal_s2,lognormal_he_scale_s0,False,False,104.14928267707455,93.18806709171916
orthogonal_s2,lognormal_he_scale_s1,False,False,104.1782313264598,93.3264415560103
orthogonal_s2,lognormal_he_scale_s2,False,True,104.09450000027525,93.32542228522286
orthogonal_s2,lognormal_jaynes_s0,False,False,81.74853334235303,72.815146245409
orthogonal_s2,lognormal_jaynes_s1,False,False,82.39284178726523,73.20499868214141
orthogonal_s2,lognormal_jaynes_s2,False,True,82.06594229289287,73.10264304129335
lognormal_he_scale_s0,lognormal_he_scale_s1,True,False,116.5411976204526,104.06765245701061
lognormal_he_scale_s0,lognormal_he_scale_s2,True,False,116.36956474733745,104.04830575479949
lognormal_he_scale_s0,lognormal_jaynes_s0,False,True,52.55848281076338,52.55848281076338
lognormal_he_scale_s0,lognormal_jaynes_s1,False,False,97.4750815256739,88.59864712858976
lognormal_he_scale_s0,lognormal_jaynes_s2,False,False,97.23390992023664,88.39527439524966
lognormal_he_scale_s1,lognormal_he_scale_s2,True,False,116.24990943324097,104.14266961809302
lognormal_he_scale_s1,lognormal_jaynes_s0,False,False,97.12272054726472,88.27941987055132
lognormal_he_scale_s1,lognormal_jaynes_s1,False,True,53.762982097525196,53.762982097525196
lognormal_he_scale_s1,lognormal_jaynes_s2,False,False,97.19331161953941,88.39815434524013
lognormal_he_scale_s2,lognormal_jaynes_s0,False,False,97.0024915249186,88.26603996870222
lognormal_he_scale_s2,lognormal_jaynes_s1,False,False,97.35823962217702,88.66800682365948
lognormal_he_scale_s2,lognormal_jaynes_s2,False,True,52.6519912603028,52.6519912603028
lognormal_jaynes_s0,lognormal_jaynes_s1,True,False,73.19933538435548,64.4117808550701
lognormal_jaynes_s0,lognormal_jaynes_s2,True,False,72.84330641248583,63.29870286836046
lognormal_jaynes_s1,lognormal_jaynes_s2,True,False,73.46780572440939,64.4454478968174
